Iterations,LSTM loss,GRU loss
1,12.0277225971,8.6181483865
2,12.2946531773,12.2812893987
3,12.7749456763,11.5005623996
4,12.6108134985,15.6989388466
5,11.9511446953,16.3799331188
6,12.8203197718,16.260473609
7,12.5194830894,14.3220456839
8,11.6815562248,12.742868185
9,13.2215095758,12.4091217518
10,12.3937138319,13.3670761585
11,12.2973430157,13.4450699091
12,12.5238206387,13.2328683138
13,13.6843454838,12.5326845646
14,14.4497827888,12.3715496063
15,11.4692647457,13.2143461704
16,13.4189873338,12.6976537704
17,12.9549106359,13.0562970638
18,12.1943132877,10.8841202259
19,14.106960386,11.7533920407
20,11.9458101392,12.4171745777
21,14.6902596354,13.174243331
22,15.6867121458,11.9015774727
23,11.5703213215,11.6581726074
24,13.9723883271,12.262488544
25,13.3134168386,11.7405166626
26,12.0545309782,13.4239324331
27,12.5413385034,13.6333029568
28,13.9504132569,13.3936691284
29,15.3036208749,11.1425457001
30,12.2226225138,13.1369822025
31,14.5964801311,13.9841748476
32,13.1075961888,11.9211538434
33,11.6793203354,12.2867975235
34,12.7162148356,12.138928026
35,12.9982661605,10.623711586
36,11.4556033611,12.6678209305
37,13.4487594366,12.4169170856
38,13.5684693456,11.9542376995
39,12.682243824,12.850630641
40,12.9483271837,12.5283895731
41,13.8663647771,11.7484913468
42,14.3429505229,13.6658613682
43,11.0724339485,13.75527668
44,11.6516491175,13.4851284027
45,13.0758597851,11.7837146521
46,12.492046833,13.4903132916
47,13.6623982489,12.3280524015
48,13.0289677382,12.5681678057
49,13.4693926573,12.3559546471
50,11.064871788,12.3574590683
51,14.5631076694,12.7825069427
52,14.7817788124,12.1683597863
53,12.0742220879,12.5845088959
54,13.0186955929,12.3069813252
55,13.1305570602,12.5997804403
56,12.6523524523,13.0486295223
57,11.3118357658,11.4652924538
58,12.2025927305,13.0127613544
59,14.2218876481,12.3076946735
60,14.0947244167,10.4752182662
61,12.7768999338,14.2902568579
62,14.1991809607,13.4803681374
63,14.1076731682,11.6517714262
64,14.066578269,11.335568428
65,13.1448494792,12.8239476681
66,14.1735160053,11.5227707624
67,12.8659887314,12.2466058731
68,13.8736325204,13.8525865078
69,12.5699099302,12.862398982
70,12.9242250919,11.980162859
71,14.6568162441,12.2766884565
72,11.9249887466,13.8032023907
73,13.9069041312,12.6887214184
74,12.8227921128,13.8666333556
75,14.085687995,11.0228927135
76,12.736641407,12.4739986658
77,13.8768928051,11.2801275551
78,13.1917256117,13.3085821867
79,13.885933876,13.1651841402
80,12.7153373957,12.3495221138
81,12.7573571801,12.1530144215
82,13.141862154,12.6068122387
83,10.5272951126,12.7780101299
84,13.5121803284,12.8496388197
85,13.3830792904,12.0504568815
86,12.0218555927,13.0121276379
87,13.460244894,12.8392582536
88,12.1361886263,13.579847455
89,13.5304662585,11.8122602701
90,14.7436850071,13.2883369327
91,13.0393613577,12.0038522482
92,11.9771177769,13.4436511993
93,15.2074225247,12.3267422915
94,13.2938414812,12.097417593
95,13.9768320024,13.8113969564
96,12.6891556382,12.6677160859
97,10.9021941423,11.7683261633
98,13.1936497688,13.2086122036
99,13.630867362,13.2858245373
100,12.1604750156,12.2077453136
