Iterations,LSTM loss,GRU loss
1,13.1632986069,12.3608801365
2,13.20355317,13.1548759937
3,12.7145447135,14.1982645988
4,12.5750561953,13.9691374898
5,12.6467819214,14.6478190422
6,13.105687499,12.7424632311
7,12.0906841755,13.2117345333
8,12.5836803913,13.8056411743
9,13.1922135353,13.2172137499
10,12.5223448277,12.825429678
11,12.7724170685,12.6689941883
12,13.0424659252,14.0993440151
13,13.1076331139,13.3249019384
14,13.6751210094,13.0595272779
15,11.984572649,13.2901040316
16,13.0743720531,12.6252613664
17,13.3812060356,12.8591941595
18,12.1404682398,13.069627285
19,13.9505150914,12.2854239345
20,12.3504636884,13.8787258863
21,14.7270474434,13.8580026627
22,16.2284549177,13.0837095976
23,11.1297179461,11.8752770424
24,14.6849105358,13.786229372
25,13.1052117348,12.9244847894
26,11.8482789993,11.8560369015
27,12.3745809197,12.206091702
28,14.5291040242,13.0027107
29,15.8145372868,12.7810629606
30,12.7206795812,12.9522520304
31,15.4429505467,13.839812994
32,14.2192994356,13.2700079083
33,10.921219945,12.5432474613
34,12.2256165147,13.6920666695
35,13.9976032972,13.3326005936
36,11.5067903996,12.9307345152
37,13.1964071989,12.4718028307
38,14.4596252441,13.0857615471
39,12.9886118174,12.5801620483
40,13.5731729865,13.3614418507
41,14.796399653,13.1431251168
42,15.2238936424,13.3557616472
43,10.3951778412,12.1000081301
44,11.4156496525,12.1674698591
45,13.1318492293,11.9587997198
46,12.896784544,12.7890155315
47,14.483892858,12.7412872612
48,13.6761069298,12.6841472387
49,13.950945735,12.7768397331
50,11.2778462172,13.0171778202
51,15.7196013331,12.9946035147
52,16.4396799207,12.1785108447
53,12.0976443291,11.9701440334
54,13.9591916204,13.0795907974
55,13.863954246,12.092445612
56,12.9593003988,11.9922279119
57,11.2684127092,12.5586124659
58,12.1354278326,11.6459747553
59,14.6913455725,12.416138649
60,15.1604900956,12.6349163055
61,13.7732805014,12.4858944416
62,15.225780189,13.5171234608
63,14.6105270982,13.3310545981
64,15.0374897122,12.9803422689
65,14.0129760206,12.7799599767
66,14.6729249358,11.740577817
67,13.8523015976,12.3482077122
68,15.0768831372,12.3643630743
69,12.5656379461,11.5604202747
70,13.7466236353,13.1993107796
71,15.9460544586,13.5601942539
72,12.2220264673,12.8014650345
73,14.1730411649,13.5984921455
74,12.646697104,10.8351864219
75,15.3288901448,12.308627665
76,12.683247447,11.8724639416
77,14.9475574493,13.4632074833
78,14.0060417652,12.7249609232
79,14.2990248203,12.5482400656
80,13.6249015331,11.4505182505
81,13.2822711766,13.0052624643
82,14.3682368994,13.786863327
83,9.702896595,11.6428585052
84,14.5620139539,13.6356407702
85,14.73557657,12.7669130564
86,12.2061523199,11.7286674976
87,13.6646696329,13.9678339958
88,12.912520051,12.2230737209
89,14.4551171064,12.8823699951
90,16.1478735805,13.2225429416
91,13.9274253249,11.6500762701
92,11.6461194754,12.5582308769
93,16.5739310086,13.3764005899
94,13.7304547429,13.2505348325
95,14.9665964246,12.4675084352
96,13.3405514956,13.6115902066
97,11.0932885408,12.3597463369
98,14.4177833796,12.0468630791
99,14.6151573658,13.4401894808
100,12.2475267649,12.2325383425
