Iterations,LSTM loss,GRU loss
1,12.209798336,1.2059672028
2,12.2088745832,8.2492261976
3,12.4464184046,10.4919084311
4,12.5674550533,11.1946799755
5,12.0144861937,10.2698523998
6,13.0968911648,13.309360981
7,12.6645878553,11.9515113831
8,11.7883177996,11.1976656914
9,13.6494299173,11.7375032902
10,12.449056983,13.7619411945
11,12.5063519478,12.6638929844
12,12.8906731606,11.8931190968
13,13.5846477151,13.5715149641
14,14.8894553781,11.5850557089
15,11.0759954453,14.2363950014
16,13.8000342846,12.4989340305
17,13.1891201735,14.1063101292
18,12.4933172464,11.3233655691
19,14.4346326888,12.235391885
20,12.0277963877,13.7417685986
21,15.1130008698,12.6133490801
22,15.8793824315,13.6206694841
23,11.4570153952,11.4506521225
24,14.1470381618,16.0486352444
25,13.5341011286,12.3421812505
26,12.1513246894,13.6042591333
27,12.6571565866,13.6432662606
28,14.2442149818,12.4035197496
29,15.3108395934,14.8890705109
30,12.294814229,13.0656003952
31,14.7772324383,14.8908338547
32,13.5868172646,16.2881999016
33,11.8707866669,7.6365690827
34,12.8730477691,15.8664313555
35,13.324298799,14.2772130966
36,11.7548413277,12.007760644
37,13.3721707463,15.1070055962
38,13.6105517745,13.8428094387
39,12.7461373806,13.5883775353
40,12.7381460667,17.3341580629
41,14.0190691948,18.9795464277
42,14.5607205033,13.8188329935
43,11.2203974724,11.0594702959
44,11.8426926136,11.3915103674
45,13.2262306213,13.1591701508
46,12.5053511858,15.0985726118
47,13.6818093359,17.6186609864
48,13.0810078382,14.2282367945
49,13.5408115387,12.0984300375
50,11.3011785746,16.5155999064
51,14.7570406795,16.4148898125
52,14.8909627199,19.2557733655
53,12.1620094776,12.7779769897
54,12.7747953534,16.3004933
55,12.7210387588,14.8150061965
56,12.931491375,14.342059195
57,11.3208197355,14.6867240667
58,12.002961874,11.6780356169
59,14.1504719257,15.2235307693
60,14.2832497954,16.3417466879
61,13.082723856,16.8914227486
62,14.282679975,17.5091471672
63,14.2957955003,15.6771352291
64,14.2556012273,15.6744227409
65,13.0457194149,14.6801205277
66,14.3490116,16.5841295719
67,12.9489182234,16.9358901978
68,14.1144028008,15.6218025684
69,12.2608439922,14.861363411
70,13.4930921793,13.5244693756
71,14.9527512789,17.0682237148
72,12.0549368858,14.5277414322
73,13.5559596419,17.1898525208
74,12.3574971259,15.5931447744
75,13.9601347148,17.7020798326
76,12.4478976727,12.8702093363
77,14.0241748691,14.1483913362
78,13.1475164294,17.151640445
79,14.1900062561,15.8967810869
80,12.6062853336,12.7130838633
81,12.679569155,11.9408824295
82,13.3843870163,15.1335902214
83,10.6689238548,10.7934372425
84,13.5872513056,16.8736947924
85,13.4715754986,11.0778769851
86,11.976300478,14.2769505978
87,13.1679345965,19.1502682567
88,11.9277650714,14.6642683744
89,14.0186420679,15.2556489706
90,15.0880434215,20.2470245063
91,13.0055769682,16.9463707209
92,12.2199826241,10.7759332657
93,15.4876157045,15.8619269729
94,13.3475850821,16.6989377439
95,14.2507500052,12.9449586868
96,12.4185076952,18.8441878259
97,10.9711867571,10.7686739564
98,13.3367824554,15.2674354017
99,13.4774743319,18.0998493433
100,12.2416783571,13.3301939964
